sampleName,abName,date,description,reference
PD10_XXL_0413_YF_lib_25_31-1,5840+5514,batch2_20220413,P1-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-2,5840+5514,batch2_20220413,P1-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-3,5840+5514,batch2_20220413,P1-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-4,5840+5514,batch2_20220413,P1-rep4,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-5,5840+5514,batch2_20220413,P2-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-6,5840+5514,batch2_20220413,P2-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_25_31-7,5840+5514,batch2_20220413,P2-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-1,5840+5514,batch2_20220413,P2-rep4,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-2,5840+5514,batch2_20220413,P3-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-3,5840+5514,batch2_20220413,P3-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-4,5840+5514,batch2_20220413,P3-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-5,5840+5514,batch2_20220413,P3-rep4,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-6,5840+5514,batch2_20220413,P4-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_32_38-7,5840+5514,batch2_20220413,P4-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-1,5840+5514,batch2_20220413,P4-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-2,5840+5514,batch2_20220413,P4-rep4,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-3,5840+5514,batch2_20220413,P5-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-4,5840+5514,batch2_20220413,P5-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-5,5840+5514,batch2_20220413,P5-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-6,5840+5514,batch2_20220413,P6-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_39_45-7,5840+5514,batch2_20220413,P6-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-1,5840+5514,batch2_20220413,P6-rep3,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-2,5840+5514,batch2_20220413,P7-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-3,5840,batch2_20220413,P3-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-5,5840,batch2_20220413,P3-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-6,5514,batch2_20220413,P3-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-7,5514,batch2_20220413,P3-rep2,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-8,5514,batch2_20220413,P4-rep1,rVSVOmicron
PD10_XXL_0413_YF_lib_46_54-9,5514,batch2_20220413,P4-rep2,rVSVOmicron
